name,bigWig,data_type,cell_type,antibody,header
wgEncodeSydhTfbsCh12Zkscan1hpa006672IggrabSig,wgEncodeSydhTfbsCh12Zkscan1hpa006672IggrabSig.bigWig,ChipSeq,CH12,ZKSCAN1_(HPA006672),wgEncodeSydhTfbsCh12Zkscan1hpa006672IggrabSig
wgEncodeSydhTfbsCh12Znf384hpa004051IggrabSig,wgEncodeSydhTfbsCh12Znf384hpa004051IggrabSig.bigWig,ChipSeq,CH12,ZNF384_(HPA004051),wgEncodeSydhTfbsCh12Znf384hpa004051IggrabSig
wgEncodeSydhTfbsCh12Znfmizdcp1ab65767IggrabSig,wgEncodeSydhTfbsCh12Znfmizdcp1ab65767IggrabSig.bigWig,ChipSeq,CH12,ZNF-MIZD-CP1_(ab65767),wgEncodeSydhTfbsCh12Znfmizdcp1ab65767IggrabSig
wgEncodeSydhTfbsEse14Hcfc1nb10068209StdSig,wgEncodeSydhTfbsEse14Hcfc1nb10068209StdSig.bigWig,ChipSeq,ES-E14,HCFC1_(NB100-68209),wgEncodeSydhTfbsEse14Hcfc1nb10068209StdSig
wgEncodeSydhTfbsEse14MafkStdSig,wgEncodeSydhTfbsEse14MafkStdSig.bigWig,ChipSeq,ES-E14,MafK_(ab50322),wgEncodeSydhTfbsEse14MafkStdSig
wgEncodeSydhTfbsEse14Zc3h11anb10074650StdSig,wgEncodeSydhTfbsEse14Zc3h11anb10074650StdSig.bigWig,ChipSeq,ES-E14,ZC3H11A_(NB100-74650),wgEncodeSydhTfbsEse14Zc3h11anb10074650StdSig
wgEncodeSydhTfbsEse14Znf384hpa004051StdSig,wgEncodeSydhTfbsEse14Znf384hpa004051StdSig.bigWig,ChipSeq,ES-E14,ZNF384_(HPA004051),wgEncodeSydhTfbsEse14Znf384hpa004051StdSig
wgEncodeSydhTfbsMelBhlhe40cIggrabSig,wgEncodeSydhTfbsMelBhlhe40cIggrabSig.bigWig,ChipSeq,MEL,BHLHE40_(NB100-1800),wgEncodeSydhTfbsMelBhlhe40cIggrabSig
wgEncodeSydhTfbsMelChd1nb10060411IggrabSig,wgEncodeSydhTfbsMelChd1nb10060411IggrabSig.bigWig,ChipSeq,MEL,CHD1_(NB100-60411),wgEncodeSydhTfbsMelChd1nb10060411IggrabSig
wgEncodeSydhTfbsMelChd2ab68301IggrabSig,wgEncodeSydhTfbsMelChd2ab68301IggrabSig.bigWig,ChipSeq,MEL,CHD2_(AB68301),wgEncodeSydhTfbsMelChd2ab68301IggrabSig
wgEncodeSydhTfbsMelCmybsc7874IggrabSig,wgEncodeSydhTfbsMelCmybsc7874IggrabSig.bigWig,ChipSeq,MEL,c-Myb_(SC-7874),wgEncodeSydhTfbsMelCmybsc7874IggrabSig
wgEncodeSydhTfbsMelCmycIggrabSig,wgEncodeSydhTfbsMelCmycIggrabSig.bigWig,ChipSeq,MEL,c-Myc,wgEncodeSydhTfbsMelCmycIggrabSig
wgEncodeSydhTfbsMelCorestsc30189IggrabSig,wgEncodeSydhTfbsMelCorestsc30189IggrabSig.bigWig,ChipSeq,MEL,COREST_(sc-30189),wgEncodeSydhTfbsMelCorestsc30189IggrabSig
wgEncodeSydhTfbsMelCtcfbDm2p5dStdSig,wgEncodeSydhTfbsMelCtcfbDm2p5dStdSig.bigWig,ChipSeq,MEL,CTCF_(SC-15914),wgEncodeSydhTfbsMelCtcfbDm2p5dStdSig
